# /messung/kmc/daten/2016/1Q/fcm_201601_149.hdf
# Sample-X	Sample-Y	$K1norm/$K4norm	Ring_1	Time
101.4	-9.899999999999999	0.0695517856538534	235.10533076548933	25716.36328125
101.5	-9.899999999999999	0.0698944795372589	235.06162236113707	25719.990234375
101.6	-9.899999999999999	0.0700421798059342	235.0262225021494	25723.15234375
101.7	-9.899999999999999	0.07003511169590217	234.99108372803278	25726.33203125
101.80000000000001	-9.899999999999999	0.06996378583290162	234.95504731242622	25729.49609375
101.9	-9.899999999999999	0.06956201746507107	234.9176585082878	25732.658203125
102.0	-9.899999999999999	0.06892104473421815	234.860728697623	25735.8203125
102.1	-9.899999999999999	0.06832330376612067	234.84909140992966	25738.982421875
102.2	-9.899999999999999	0.06768595421436509	234.81198579892754	25742.14453125
102.30000000000001	-9.899999999999999	0.06700823098115138	234.77603753536687	25745.306640625
102.4	-9.899999999999999	0.06656296041824424	234.73888074024256	25748.501953125
