#Diameter(nm)	Absorption	normalised		volume	Normalised			Nb	normalised
1083.27	0.000039	0.0004219911		0.04224753	0.0031088623			3.32346550153063E-011	7.75008878074299E-006
1080.434	0.000039	0.0004219911		0.042136926	0.0031007233			3.34093573724039E-011	7.79082814683804E-006
1077.621	0.000039	0.0004219911		0.042027219	0.0030926503			3.35840072441364E-011	7.83155527371355E-006
1074.84	0.00004	0.0004328114		0.0429936	0.0031637632			3.46236102849745E-011	0.000008074
1072.068	0.00004	0.0004328114		0.04288272	0.0031556039			3.48028913176136E-011	8.11579050283001E-006
1069.325	0.000041	0.0004436317		0.043842325	0.0032262182			3.58562127367554E-011	8.36141768052293E-006
1066.604	0.000042	0.000454452		0.044797368	0.0032964968			3.69184002846073E-011	8.60911237733444E-006
1063.899	0.000044	0.0004760926		0.046811556	0.0034447145			3.88733416362431E-011	0.000009065
1061.219	0.000045	0.0004869129		0.047754855	0.0035141289			3.99578838235453E-011	9.31789865068458E-006
1058.548	0.000045	0.0004869129		0.04763466	0.0035052841			4.01597871075348E-011	0.000009365
1055.905	0.000045	0.0004869129		0.047515725	0.0034965321			4.03610839248485E-011	9.41192209037623E-006
1053.284	0.000046	0.0004977332		0.048451064	0.0035653607			4.1463585810708E-011	0.000009669
1050.686	0.000047	0.0005085534		0.049382242	0.0036338832			4.25747363259394E-011	9.9281303263353E-006
1048.091	0.000047	0.0005085534		0.049260277	0.0036249081			4.27858214567635E-011	9.97735390044576E-006
1045.535	0.000048	0.0005193737		0.05018568	0.0036930056			4.3910065604712E-011	1.02395197617679E-005
1042.982	0.000049	0.000530194		0.051106118	0.0037607378			4.5044570817228E-011	1.05040784314807E-005
1040.45	0.00005	0.0005410143		0.0520225	0.0038281714			4.61878317644532E-011	1.07706788772043E-005
1037.938	0.00005	0.0005410143		0.0518969	0.0038189289			4.64116683189532E-011	1.08228759940076E-005
1035.449	0.000051	0.0005518346		0.052807899	0.0038859664			4.75677654107076E-011	1.10924697387337E-005
1032.98	0.000051	0.0005518346		0.05268198	0.0038767005			4.77954274553897E-011	1.11455589330545E-005
1030.52	0.000051	0.0005518346		0.05255652	0.0038674683			4.80238889852572E-011	1.11988345617211E-005
1028.08	0.00005	0.0005410143		0.051404	0.0037826579			4.73059951770228E-011	1.10314267536244E-005
1025.662	0.000049	0.000530194		0.050257438	0.0036982861			4.65787199108763E-011	1.08618312552484E-005
1023.261	0.000048	0.0005193737		0.049116528	0.0036143301			4.58425105290773E-011	1.0690152383675E-005
